Front;Back
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/57932018/medium.jpg""><br>What is the genus of this plant?";Euphorbia  spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/27994139/medium.jpg""><br>What is the scientific name of this plant?";Euthamia occidentalis
"<img src=""https://static.inaturalist.org/photos/14268635/medium.jpg""><br>What is the scientific name of this plant?";Extriplex californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/29121494/medium.jpeg""><br>What is the scientific name of this plant?";Festuca arundinacea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/17802550/medium.jpeg""><br>What is the scientific name of this plant?";Festuca californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/15394/medium.jpg""><br>What is the scientific name of this plant?";Festuca idahoensis
"<img src=""https://static.inaturalist.org/photos/130196588/medium.jpeg""><br>What is the scientific name of this plant?";Festuca rubra
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3069933/medium.jpg""><br>What is the scientific name of this plant?";Ficus carica
"<img src=""https://static.inaturalist.org/photos/50868492/medium.jpg""><br>What is the scientific name of this plant?";Foeniculum vulgare
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/575277/medium.jpg""><br>What is the genus of this plant?";Frangula californica ssp. tomentella
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/173301430/medium.jpeg""><br>What is the scientific name of this plant?";Frankenia salina
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/41412/medium.jpg""><br>What is the scientific name of this plant?";Fraxinus dipetala
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/475505/medium.jpg""><br>What is the scientific name of this plant?";Fraxinus latifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/19013/medium.jpg""><br>What is the scientific name of this plant?";Fremontodendron californicum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/6272/medium.jpg""><br>What is the genus of this plant?";Fritillaria spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/8246153/medium.jpeg""><br>What is the scientific name of this plant?";Galium andrewsii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/113728457/medium.jpeg""><br>What is the scientific name of this plant?";Galium aparine
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/30968909/medium.jpg""><br>What is the genus of this plant?";Galium spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5384/medium.jpg""><br>What is the genus of this plant?";Garrya spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1142/medium.jpg""><br>What is the scientific name of this plant?";Gaultheria shallon
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/142678/medium.jpg""><br>What is the scientific name of this plant?";Gayophytum diffusum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/61279626/medium.jpg""><br>What is the scientific name of this plant?";Genista monspessulana
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/62778360/medium.jpg""><br>What is the genus of this plant?";Gilia capitata ssp. abrotanifolia
"<img src=""https://static.inaturalist.org/photos/176947/medium.jpg""><br>What is the scientific name of this plant?";Gilia ochroleuca
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/2772/medium.jpg""><br>What is the scientific name of this plant?";Gilia tricolor
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/8082065/medium.jpg""><br>What is the scientific name of this plant?";Gnaphalium palustre
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5386878/medium.jpg""><br>What is the scientific name of this plant?";Hazardia squarrosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/8874/medium.jpg""><br>What is the genus of this plant?";Hedera spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/47216819/medium.jpg""><br>What is the scientific name of this plant?";Helenium bigelovii
"<img src=""https://static.inaturalist.org/photos/110131677/medium.jpg""><br>What is the scientific name of this plant?";Helianthus annuus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/148921909/medium.jpg""><br>What is the scientific name of this plant?";Helminthotheca echioides
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/137558496/medium.jpg""><br>What is the scientific name of this plant?";Heracleum maximum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/46984372/medium.jpg""><br>What is the genus of this plant?";Hesperocyparis spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/122618669/medium.jpg""><br>What is the scientific name of this plant?";Hesperoyucca whipplei
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5385189/medium.jpg""><br>What is the scientific name of this plant?";Heteromeles arbutifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/185866/medium.jpg""><br>What is the scientific name of this plant?";Heterotheca grandiflora
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/139670860/medium.jpg""><br>What is the scientific name of this plant?";Heterotheca sessiliflora
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3498/medium.jpg""><br>What is the scientific name of this plant?";Heuchera micrantha
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3683818/medium.JPG""><br>What is the scientific name of this plant?";Hirschfeldia incana
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1066940/medium.JPG""><br>What is the scientific name of this plant?";Holocarpha virgata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/41885248/medium.jpg""><br>What is the scientific name of this plant?";Holodiscus discolor
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/40668895/medium.jpg""><br>What is the scientific name of this plant?";Hordeum marinum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/42017246/medium.jpeg""><br>What is the scientific name of this plant?";Hordeum murinum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/80103099/medium.jpg""><br>What is the scientific name of this plant?";Hypericum perforatum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/46415397/medium.jpeg""><br>What is the scientific name of this plant?";Ipomopsis aggregata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/7384130/medium.jpeg""><br>What is the scientific name of this plant?";Iris douglasiana
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1705604/medium.JPG""><br>What is the scientific name of this plant?";Iris macrosiphon
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1899110/medium.jpg""><br>What is the scientific name of this plant?";Iris missouriensis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/930459/medium.jpg""><br>What is the scientific name of this plant?";Iris pseudacorus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/109465090/medium.jpeg""><br>What is the scientific name of this plant?";Isocoma menziesii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/7086/medium.jpg""><br>What is the scientific name of this plant?";Juglans californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/54524/medium.jpg""><br>What is the scientific name of this plant?";Juglans hindsii 
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/46339870/medium.jpg""><br>What is the scientific name of this plant?";Juncus balticus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/62222498/medium.jpg""><br>What is the scientific name of this plant?";Juncus bufonius
"<img src=""https://static.inaturalist.org/photos/2121994/medium.jpg""><br>What is the scientific name of this plant?";Juncus mexicanus
"<img src=""https://static.inaturalist.org/photos/37682659/medium.jpeg""><br>What is the scientific name of this plant?";Juncus xiphioides
"<img src=""https://static.inaturalist.org/photos/390528/medium.jpg""><br>What is the scientific name of this plant?";Juniperus californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/8748376/medium.jpeg""><br>What is the scientific name of this plant?";Juniperus occidentalis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/31044670/medium.jpeg""><br>What is the scientific name of this plant?";Kalmia polifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11454/medium.jpg""><br>What is the genus of this plant?";Keckiella spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/119216855/medium.jpg""><br>What is the scientific name of this plant?";Koeleria macrantha
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/306258843/medium.jpg""><br>What is the scientific name of this plant?";Lactuca serriola
"<img src=""https://static.inaturalist.org/photos/1641643/medium.jpg""><br>What is the scientific name of this plant?";Lamarckia aurea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/163141503/medium.jpg""><br>What is the scientific name of this plant?";Larrea tridentata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/67134225/medium.jpeg""><br>What is the genus of this plant?";Lasthenia spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/155822874/medium.jpeg""><br>What is the scientific name of this plant?";Lathyrus latifolius
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/174777/medium.jpg""><br>What is the scientific name of this plant?";Lathyrus sulphureus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/2381/medium.jpg""><br>What is the scientific name of this plant?";Lathyrus vestitus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/119405250/medium.jpg""><br>What is the scientific name of this plant?";Layia glandulosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/161153/medium.jpg""><br>What is the scientific name of this plant?";Lepidospartum squamatum
"<img src=""https://static.inaturalist.org/photos/37148429/medium.jpg""><br>What is the scientific name of this plant?";Leptosiphon aureus
"<img src=""https://static.inaturalist.org/photos/34493368/medium.jpeg""><br>What is the scientific name of this plant?";Leptosiphon parviflorus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/143277/medium.jpg""><br>What is the scientific name of this plant?";Leptosyne bigelovii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/13363/medium.jpg""><br>What is the scientific name of this plant?";Lilium humboldtii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11766/medium.jpg""><br>What is the scientific name of this plant?";Lilium pardalinum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/29203/medium.jpg""><br>What is the scientific name of this plant?";Limnanthes alba
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/13142/medium.jpg""><br>What is the scientific name of this plant?";Linanthus pungens
"<img src=""https://static.inaturalist.org/photos/8275302/medium.jpg""><br>What is the scientific name of this plant?";Linaria dalmatica
"<img src=""https://static.inaturalist.org/photos/3607783/medium.jpg""><br>What is the scientific name of this plant?";Festuca perennis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/112753585/medium.jpg""><br>What is the scientific name of this plant?";Lomatium dasycarpum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/204752/medium.jpg""><br>What is the scientific name of this plant?";Lonicera interrupta
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/52126544/medium.jpeg""><br>What is the scientific name of this plant?";Lonicera involucrata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/56253200/medium.jpeg""><br>What is the scientific name of this plant?";Lonicera subspicata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/38137/medium.jpg""><br>What is the genus of this plant?";Lupinus spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/60935732/medium.jpg""><br>What is the scientific name of this plant?";Lysimachia arvensis
"<img src=""https://static.inaturalist.org/photos/60095098/medium.jpeg""><br>What is the scientific name of this plant?";Lythrum hyssopifolia
"<img src=""https://static.inaturalist.org/photos/63744014/medium.jpeg""><br>What is the scientific name of this plant?";Lythrum salicaria
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/17596/medium.jpg""><br>What is the scientific name of this plant?";Madia elegans
"<img src=""https://static.inaturalist.org/photos/39168234/medium.jpg""><br>What is the scientific name of this plant?";Maianthemum racemosum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11777/medium.jpg""><br>What is the genus of this plant?";Malacothamnus spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/257646122/medium.jpg""><br>What is the scientific name of this plant?";Malacothrix coulteri
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/37509/medium.jpg""><br>What is the scientific name of this plant?";Malacothrix saxatilis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/2121812/medium.JPG""><br>What is the scientific name of this plant?";Malosma laurina
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/247015298/medium.jpeg""><br>What is the scientific name of this plant?";Malva parviflora
"<img src=""https://static.inaturalist.org/photos/7112770/medium.jpg""><br>What is the scientific name of this plant?";Marah fabacea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/665395/medium.jpg""><br>What is the scientific name of this plant?";Marrubium vulgare
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5241652/medium.jpg""><br>What is the scientific name of this plant?";Marsilea vestita
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/63400708/medium.jpeg""><br>What is the scientific name of this plant?";Matricaria discoidea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/154103110/medium.jpg""><br>What is the scientific name of this plant?";Medicago polymorpha
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/316254/medium.jpg""><br>What is the scientific name of this plant?";Melica californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/345176/medium.jpg""><br>What is the scientific name of this plant?";Melica imperfecta
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/88013424/medium.jpg""><br>What is the scientific name of this plant?";Melilotus alba
"<img src=""https://static.inaturalist.org/photos/36781212/medium.jpg""><br>What is the scientific name of this plant?";Melilotus indica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/177653/medium.jpg""><br>What is the scientific name of this plant?";Mentzelia laevicaulis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/31465/medium.jpg""><br>What is the scientific name of this plant?";Mesembryanthemum nodiflorum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/14107428/medium.jpg""><br>What is the scientific name of this plant?";Minuartia douglasii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/16355/medium.jpg""><br>What is the genus of this plant?";Monardella spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/16145/medium.jpg""><br>What is the scientific name of this plant?";Morella californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/135288827/medium.jpeg""><br>What is the scientific name of this plant?";Nasturtium officinale
"<img src=""https://static.inaturalist.org/photos/35314001/medium.jpg""><br>What is the scientific name of this plant?";Nemophila maculata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/40638993/medium.jpg""><br>What is the scientific name of this plant?";Nemophila menziesii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/167324799/medium.jpeg""><br>What is the scientific name of this plant?";Nicotiana glauca
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/6644/medium.jpg""><br>What is the scientific name of this plant?";Notholithocarpus densiflorus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5410/medium.jpg""><br>What is the scientific name of this plant?";Oemleria cerasiformis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/177771265/medium.jpg""><br>What is the scientific name of this plant?";Opuntia basilaris
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/157442848/medium.jpg""><br>What is the scientific name of this plant?";Opuntia littoralis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/7425242/medium.jpeg""><br>What is the scientific name of this plant?";Orobanche fasciculata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/14632692/medium.jpeg""><br>What is the scientific name of this plant?";Oxalis oregana
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5270/medium.jpg""><br>What is the scientific name of this plant?";Oxalis pes-caprae
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1626985/medium.jpg""><br>What is the scientific name of this plant?";Pectocarya setosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/380675/medium.jpg""><br>What is the scientific name of this plant?";Pedicularis densiflora
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5590882/medium.jpeg""><br>What is the scientific name of this plant?";Pellaea andromedifolia
"<img src=""https://static.inaturalist.org/photos/35701254/medium.jpg""><br>What is the scientific name of this plant?";Pellaea mucronata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/6748173/medium.jpg""><br>What is the scientific name of this plant?";Pennisetum setaceum
"<img src=""https://static.inaturalist.org/photos/1946935/medium.jpg""><br>What is the scientific name of this plant?";Penstemon centranthifolius
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/130602283/medium.jpg""><br>What is the scientific name of this plant?";Penstemon heterophyllus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/302400/medium.jpg""><br>What is the scientific name of this plant?";Pentagramma triangularis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/13544465/medium.jpeg""><br>What is the scientific name of this plant?";Peritoma arborea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/6476033/medium.jpeg""><br>What is the genus of this plant?";Phacelia spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/22289/medium.jpg""><br>What is the genus of this plant?";Phoradendron leucarpum ssp. tomentosum
"<img src=""https://static.inaturalist.org/photos/1566386/medium.jpg""><br>What is the scientific name of this plant?";Pickeringia montana
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/62469120/medium.jpeg""><br>What is the scientific name of this plant?";Pinus attenuata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/45880976/medium.jpeg""><br>What is the scientific name of this plant?";Pinus contorta
"<img src=""https://static.inaturalist.org/photos/82669783/medium.jpg""><br>What is the scientific name of this plant?";Pinus jeffreyi
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/19561/medium.jpg""><br>What is the scientific name of this plant?";Pinus lambertiana
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/12624/medium.jpg""><br>What is the scientific name of this plant?";Pinus monophylla
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3790446/medium.JPG""><br>What is the scientific name of this plant?";Pinus ponderosa
"<img src=""https://static.inaturalist.org/photos/39486159/medium.jpeg""><br>What is the scientific name of this plant?";Pinus radiata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/27054/medium.jpg""><br>What is the scientific name of this plant?";Pinus sabiniana
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5272/medium.jpg""><br>What is the scientific name of this plant?";Plantago erecta
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/289213594/medium.jpg""><br>What is the scientific name of this plant?";Plantago lanceolata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/85519437/medium.jpg""><br>What is the scientific name of this plant?";Plantago major
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/140548658/medium.jpg""><br>What is the scientific name of this plant?";Platanthera dilatata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/38512081/medium.jpg""><br>What is the scientific name of this plant?";Platanus racemosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3472/medium.jpg""><br>What is the scientific name of this plant?";Platystemon californicus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/7036923/medium.jpg""><br>What is the scientific name of this plant?";Poa bulbosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/14390/medium.jpg""><br>What is the scientific name of this plant?";Poa pratensis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/11822/medium.jpg""><br>What is the scientific name of this plant?";Poa secunda
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/37032708/medium.jpg""><br>What is the genus of this plant?";Pogogyne spp.
"<img src=""https://static.inaturalist.org/photos/8464032/medium.jpg""><br>What is the scientific name of this plant?";Polygala cornuta
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1001976/medium.jpg""><br>What is the genus of this plant?";Polygonum aviculare ssp. depressum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/2813823/medium.jpg""><br>What is the genus of this plant?";Polypodium spp.
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/115909148/medium.jpeg""><br>What is the scientific name of this plant?";Polypogon monspeliensis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/887917/medium.jpeg""><br>What is the genus of this plant?";Polystichum spp.
"<img src=""https://static.inaturalist.org/photos/64301085/medium.jpg""><br>What is the scientific name of this plant?";Populus fremontii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/26648317/medium.jpeg""><br>What is the scientific name of this plant?";Populus tremuloides
"<img src=""https://static.inaturalist.org/photos/19455945/medium.jpg""><br>What is the scientific name of this plant?";Populus trichocarpa
"<img src=""https://static.inaturalist.org/photos/156307616/medium.jpg""><br>What is the scientific name of this plant?";Portulaca oleracea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/2120/medium.jpg""><br>What is the scientific name of this plant?";Primula hendersonii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/26873628/medium.jpg""><br>What is the scientific name of this plant?";Primula jeffreyi
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/18334758/medium.jpeg""><br>What is the scientific name of this plant?";Prosopis glandulosa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/65409387/medium.jpg""><br>What is the scientific name of this plant?";Prunella vulgaris
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/67338881/medium.jpg""><br>What is the scientific name of this plant?";Prunus emarginata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/49953932/medium.jpg""><br>What is the scientific name of this plant?";Prunus ilicifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/146282563/medium.jpg""><br>What is the scientific name of this plant?";Prunus virginiana
"<img src=""https://static.inaturalist.org/photos/1543173/medium.jpg""><br>What is the scientific name of this plant?";Pseudognaphalium bioletti
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/183610927/medium.jpeg""><br>What is the scientific name of this plant?";Pseudognaphalium californicum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/603715/medium.jpg""><br>What is the scientific name of this plant?";Pseudognaphalium luteoalbum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/111924890/medium.jpg""><br>What is the scientific name of this plant?";Pseudognaphalium microcephalum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/6770717/medium.jpeg""><br>What is the scientific name of this plant?";Pseudognaphalium stramineum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/140217013/medium.jpg""><br>What is the scientific name of this plant?";Pseudotsuga menziesii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/134655639/medium.jpg""><br>What is the scientific name of this plant?";Psorothamnus spinosus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/149174235/medium.jpeg""><br>What is the scientific name of this plant?";Pteridium aquilinum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/424555/medium.JPG""><br>What is the scientific name of this plant?";Pterospora andromedea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/133190825/medium.jpeg""><br>What is the scientific name of this plant?";Purshia tridentata
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/18734105/medium.jpg""><br>What is the scientific name of this plant?";Quercus agrifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/52555852/medium.jpg""><br>What is the scientific name of this plant?";Quercus berberidifolia
"<img src=""https://static.inaturalist.org/photos/2351062/medium.jpg""><br>What is the scientific name of this plant?";Quercus chrysolepis
"<img src=""https://static.inaturalist.org/photos/6460144/medium.jpg""><br>What is the scientific name of this plant?";Quercus douglasii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/1018289/medium.jpg""><br>What is the scientific name of this plant?";Quercus garryana
"<img src=""https://static.inaturalist.org/photos/37515155/medium.jpg""><br>What is the scientific name of this plant?";Quercus john-tuckeri
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/2038/medium.jpg""><br>What is the scientific name of this plant?";Quercus kelloggii
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/149586607/medium.jpg""><br>What is the scientific name of this plant?";Quercus lobata
"<img src=""https://static.inaturalist.org/photos/153061/medium.jpg""><br>What is the scientific name of this plant?";Quercus vaccinifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/22847535/medium.jpeg""><br>What is the scientific name of this plant?";Quercus wislizeni
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/5277/medium.jpg""><br>What is the scientific name of this plant?";Rafinesquia californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/827612/medium.jpg""><br>What is the scientific name of this plant?";Ranunculus occidentalis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/62230931/medium.jpeg""><br>What is the scientific name of this plant?";Raphanus sativus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/735023/medium.jpg""><br>What is the scientific name of this plant?";Rhamnus crocea
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/735023/medium.jpg""><br>What is the scientific name of this plant?";Rhamnus ilicifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/3832710/medium.JPG""><br>What is the scientific name of this plant?";Rhododendron columbianum
"<img src=""https://static.inaturalist.org/photos/2012349/medium.jpg""><br>What is the scientific name of this plant?";Rhododendron macrophyllum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/14523/medium.jpg""><br>What is the scientific name of this plant?";Rhododendron occidentale
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/14516370/medium.jpeg""><br>What is the scientific name of this plant?";Rhus integrifolia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/163767099/medium.jpg""><br>What is the scientific name of this plant?";Ribes aureum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/42361813/medium.jpeg""><br>What is the scientific name of this plant?";Ribes cereum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/250668816/medium.jpeg""><br>What is the scientific name of this plant?";Ribes malvaceum
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/174784/medium.jpg""><br>What is the scientific name of this plant?";Ribes nevadense
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/9289/medium.jpg""><br>What is the scientific name of this plant?";Ribes roezlii
"<img src=""https://static.inaturalist.org/photos/61079958/medium.jpeg""><br>What is the scientific name of this plant?";Ricinus communis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/257842284/medium.jpeg""><br>What is the scientific name of this plant?";Robinia pseudoacacia
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/42757060/medium.jpg""><br>What is the scientific name of this plant?";Rosa californica
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/26171161/medium.jpeg""><br>What is the scientific name of this plant?";Rosa gymnocarpa
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/16312416/medium.jpg""><br>What is the scientific name of this plant?";Rubus armeniacus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/86340183/medium.jpg""><br>What is the scientific name of this plant?";Rubus parviflorus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/133515800/medium.jpg""><br>What is the scientific name of this plant?";Rubus spectabilis
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/124445245/medium.jpg""><br>What is the scientific name of this plant?";Rubus ursinus
"<img src=""https://inaturalist-open-data.s3.amazonaws.com/photos/177768765/medium.jpg""><br>What is the scientific name of this plant?";Rumex acetosella
